FactSchema Name,Item ID,Item Type,Hierarchy,Conformed Hierarchy,Conformed Hierarchy Attribute,Item Name,From Item ID,To Item ID,Description,Sample Values,Notes,Is Multiple,Is Optional,Is Shared,Is Descriptive,Is Cross Dimensional,Is Convergence,Temporal Scenario,Source Table,Source Field,Logical Name,SQL Type,Length,Precision,Scale
Historical Order,Season_Season,Attribute,Season,,,Season,FACT,,The collection of goods,"FW12, SS13, FW13",,,False,False,False,False,False,UpToDate,,,SEASON,VARCHAR,255,,
Historical Order,Currency_Currency,Attribute,Currency,,,Currency,FACT,,The currency used for billing,"USD, EUR, JPY, GBP, CAD",,,False,False,False,False,False,UpToDate,,,CURRENCY,VARCHAR,255,,
Historical Order,Time_Month In Year,Attribute,Time,Time,Month In Year,Month In Year,FACT,,A specific month,"Jan 14, Feb 14, Mar 15",,,False,False,False,False,False,UpToDate,,,MONTH_IN_YEAR,VARCHAR,255,,
Historical Order,Time_Quarter,Attribute,Time,Time,Quarter,Quarter,Time_Month In Year,,A specific quarter,"Q1 14, Q2 14, Q3 14, Q4 14",,,False,False,False,False,False,UpToDate,,,QUARTER,VARCHAR,255,,
Historical Order,Time_Semester,Attribute,Time,Time,Semester,Semester,Time_Quarter,,A specific semester,"S1 14, S2 14",,,False,False,False,False,False,UpToDate,,,SEMESTER,VARCHAR,255,,
Historical Order,Time_Year,Attribute,Time,Time,Year,Year,,,A specific year,"2013, 2014, 2015",,,False,False,False,False,True,UpToDate,,,YEAR,VARCHAR,255,,
Historical Order,Time_4-Month Period,Attribute,Time,Time,4-Month Period,4-Month Period,Time_Month In Year,,,"3MP1 13, 3MP2 13, 3MP3 14",,,False,False,False,False,False,UpToDate,,,_4_MONTH_PERIOD,VARCHAR,255,,
Historical Order,Time_Month,Attribute,Time,Time,Month,Month,Time_Month In Year,,A generic month,"Jan, Feb, Mar",,,False,False,False,False,False,UpToDate,,,MONTH,VARCHAR,255,,
Historical Order,Product_Subtype,Attribute,Product,Product,Subtype,Subtype,FACT,,A classification of products,"Lady Sports Multipurpose Footwear, Lady Sandals Casual Footwear, Man Leathers Formal Footwear",,,False,False,False,False,False,UpToDate,,,SUBTYPE,VARCHAR,255,,
Historical Order,Product_Type,Attribute,Product,Product,Type,Type,Product_Subtype,,A classification of products,"Coats, casual, suits",,,False,False,False,False,False,UpToDate,,,TYPE,VARCHAR,255,,
Historical Order,Product_Category,Attribute,Product,Product,Category,Category,Product_Type,,A classification of products,"Footwear, apparel, accessories",,,False,False,False,False,False,UpToDate,,,CATEGORY,VARCHAR,255,,
Historical Order,Product_Customer Type,Attribute,Product,Product,Customer Type,Customer Type,Product_Subtype,,The type of customer the product is targeted to,"Junior, baby, adult",,,False,False,False,False,False,UpToDate,,,CUSTOMER_TYPE,VARCHAR,255,,
Historical Order,Product_Age Range,Attribute,Product,Product,Age Range,Age Range,Product_Customer Type,,,"1-5, 6-10, 11-16",,,False,False,True,False,False,UpToDate,,,AGE_RANGE,VARCHAR,255,,
Historical Order,Customer_Country,Attribute,Customer,Customer,Country,Country,FACT,,The nation of a city,"Italy, UK, USA",,,False,False,False,False,False,UpToDate,,,COUNTRY,VARCHAR,255,,
